"tenure","n.adults","n.children","premium","len.at.res","ni.age","year","claim.ind","ni.marital.status","ni.gender","sales.channel","coverage.type","dwelling.type","credit","house.color","zip.code","cancel","id"
12,6,0,961.184426,17,54,-2,"0","1","M","Phone","B","House","high","blue","1",0,1
13,5,5,870.2254553,19,56,-2,"1","1","F","Broker","B","House","medium","white","8",1,2
15,2,2,794.4768844,15,54,-2,"0","1","F","Broker","A","House","high","white","8",0,3
7,1,2,775.0004906,25,34,-2,"0","1","M","Online","A","House","medium","white","8",0,4
18,1,3,975.9631067,46.85383778,64,-2,"0","1","F","Broker","B","House","high","white","8",0,5
4,1,0,1019.571676,16,30,-2,"1","0","M","Phone","B","Tenant","high","red","5",1,6
9,1,0,1010.61498,13,33,-2,"0","1","F","Broker","A","Tenant","low","blue","8",1,7
0,2,0,750.9536509,7,25,-2,"0","0","M","Phone","A","Condo","medium","white","5",1,8
14,2,6,702.6493464,17,50,-2,"0","1","F","Broker","B","Tenant","high","white","5",0,9
3,3,0,909.0858379,16,31,-2,"0","0","M","Broker","C","Condo","high","white","5",0,10
15,1,3,753.683967,13,51,-2,"0","1","F","Phone","B","Tenant","medium","white","9",1,11
15,4,3,906.5451514,12,59,-2,"0","1","F","Phone","A","Condo","high","red","8",1,12
18,2,6,1000.400295,10,46,-2,"0","1","M","Phone","C","Tenant","high","yellow","9",0,13
12,2,0,801.2816148,15,46,-2,"0","0","M","Broker","A","House","high","yellow","1",0,14
15,4,5,863.0836456,18,44,-2,"1","1","F","Broker","A","Condo","high","red","1",0,15
10,3,2,824.9081491,15,52,-2,"0","1","F","Broker","C","House","high","yellow","5",0,16
15,1,4,949.1280418,8,66,-2,"0","1","M","Broker","B","House","high","yellow","8",0,17
14,1,8,893.6014243,16,39,-2,"1","1","M","Broker","C","House","medium","white","9",1,18
5,1,0,781.2498054,14,28,-2,"0","0","M","Phone","B","House","medium","white","1",1,19
21,2,0,951.7710751,9,41,-2,"0","1","M","Phone","B","Tenant","high","white","2",1,20
9,1,1,885.1656043,16,55,-2,"1","1","M","Broker","C","House","high","red","8",0,21
14,1,2,921.8302713,12,55,-2,"0","1","F","Broker","A","House","high","white","1",0,22
9,1,1,952.867457,13,30,-2,"1","0","M","Broker","C","Condo","medium","red","8",0,23
13,1,1,988.3612961,15,54,-2,"0","1","F","Phone","B","House","high","white","8",0,24
3,1,7,953.7560159,15,26,-2,"0","1","M","Broker","C","House","medium","blue","1",0,25
10,1,5,1014.572466,9,40,-2,"0","1","F","Broker","C","House","low","white","9",0,26
18,1,8,825.3749855,14,53,-2,"0","1","F","Broker","C","House","low","red","1",1,27
24,2,2,886.8540324,19,50,-2,"1","1","M","Broker","C","House","high","blue","8",0,28
12,4,0,960.1329951,19,44,-2,"0","0","M","Broker","B","House","high","white","1",0,29
18,1,2,912.6671855,33.01379238,112,-2,"0","1","M","Phone","A","House","high","yellow","8",0,30
14,2,0,955.3623974,23,49,-2,"0","1","F","Broker","C","Condo","high","blue","8",0,31
7,3,4,826.5638554,12,33,-2,"0","1","M","Phone","A","House","high","red","5",0,32
1,1,1,853.248215,14,34,-2,"1","1","M","Broker","A","House","high","white","5",0,33
0,3,0,778.0405213,11,31,-2,"1","0","M","Phone","C","House","high","white","9",0,34
15,3,2,858.0413074,12,57,-2,"0","1","F","Broker","A","House","medium","blue","8",0,35
14,1,0,814.1580494,13,65,-2,"0","1","M","Broker","B","Condo","high","red","1",0,36
8,1,0,952.140043,11,31,-2,"0","0","M","Broker","A","Condo","medium","white","1",0,37
24,4,10,853.0122391,11,63,-2,"1","1","F","Phone","A","Condo","high","white","5",1,38
6,1,0,884.2097974,22,28,-2,"0","1","F","Broker","B","House","high","white","8",0,39
13,2,1,742.9353589,14,39,-2,"0","1","M","Broker","A","House","medium","white","5",0,40
15,1,3,870.915032,11,46,-2,"0","1","F","Phone","C","House","high","white","5",1,41
20,2,0,910.9868567,19,49,-2,"0","1","M","Broker","C","Condo","high","white","5",0,42
15,2,6,889.8326301,10,53,-2,"1","1","M","Phone","A","Condo","high","white","8",0,43
14,1,0,929.2957481,17,57,-2,"0","0","F","Broker","C","House","high","white","5",0,44
