tenure,claim.ind,n.adults,n.children,ni.gender,ni.marital.status,premium,sales.channel,coverage.type,dwelling.type,len.at.res,credit,house.color,ni.age,year,zip.code,cancel,id
12,0,6,0,M,1,961.184426,Phone,B,House,17,high,blue,54,2013,15032,0,1
13,1,5,5,F,1,870.2254553,Broker,B,House,19,medium,white,56,2013,85068,1,2
15,0,2,2,F,1,794.4768844,Broker,A,House,15,high,white,54,2013,80021,0,3
7,0,1,2,M,1,775.0004906,Online,A,House,25,medium,white,34,2013,85055,0,4
18,0,1,3,F,1,975.9631067,Broker,B,House,46.85383778,high,white,64,2013,80006,0,5
4,1,1,0,M,0,1019.571676,Phone,B,Tenant,16,high,red,30,2013,50013,1,6
9,0,1,0,F,1,1010.61498,Broker,A,Tenant,13,low,blue,33,2013,85068,1,7
0,0,2,0,M,0,750.9536509,Phone,A,Condo,7,medium,white,25,2013,50027,1,8
14,0,2,6,F,1,702.6493464,Broker,B,Tenant,17,high,white,50,2013,50008,0,9
3,0,3,0,M,0,909.0858379,Broker,C,Condo,16,high,white,31,2013,50008,0,10
15,0,1,3,F,1,753.683967,Phone,B,Tenant,13,medium,white,51,2013,98007,1,11
15,0,4,3,F,1,906.5451514,Phone,A,Condo,12,high,red,59,2013,85027,1,12
18,0,2,6,M,1,1000.400295,Phone,C,Tenant,10,high,yellow,46,2013,98011,0,13
12,0,2,0,M,0,801.2816148,Broker,A,House,15,high,yellow,46,2013,15009,0,14
15,1,4,5,F,1,863.0836456,Broker,A,Condo,18,high,red,44,2013,15012,0,15
10,0,3,2,F,1,824.9081491,Broker,C,House,15,high,yellow,52,2013,50046,0,16
15,0,1,4,M,1,949.1280418,Broker,B,House,8,high,yellow,66,2013,80025,0,17
14,1,1,8,M,1,893.6014243,Broker,C,House,16,medium,white,39,2013,98022,1,18
5,0,1,0,M,0,781.2498054,Phone,B,House,14,medium,white,28,2013,15057,1,19
21,0,2,0,M,1,951.7710751,Phone,B,Tenant,9,high,white,41,2013,20107,1,20
9,1,1,1,M,1,885.1656043,Broker,C,House,16,high,red,55,2013,80015,0,21
14,0,1,2,F,1,921.8302713,Broker,A,House,12,high,white,55,2013,15001,0,22
9,1,1,1,M,0,952.867457,Broker,C,Condo,13,medium,red,30,2013,85073,0,23
13,0,1,1,F,1,988.3612961,Phone,B,House,15,high,white,54,2013,85036,0,24
3,0,1,7,M,1,953.7560159,Broker,C,House,15,medium,blue,26,2013,15025,0,25
10,0,1,5,F,1,1014.572466,Broker,C,House,9,low,white,40,2013,98014,0,26
18,0,1,8,F,1,825.3749855,Broker,C,House,14,low,red,53,2013,15001,1,27
